a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,st,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,s ,s ,s ,st,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,m_6_800;200_650;300,a ,a ,a ,a ,s ,st,s ,st,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,s ,st,s ,st,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,s ,st,s ,st,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,di,di,a ,a ,a ,a ,a ,s ,st,s ,st,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,di,st,st,r ,a ,a ,a ,s ,s ,st,s ,st,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,st,st,st,st,a ,a ,a ,r ,st,st,s ,st,st,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,st,st,a ,a ,a ,a ,a ,a ,r ,st,st,s ,s ,st,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,st,w ,w ,w ,w ,w ,w ,r ,r ,r ,st,st,s ,st,a ,a ,a ,a ,a ,a 
st,di,di,a ,a ,a ,st,di,w ,w ,w ,w ,w ,w ,r ,r ,r ,r ,st,s ,st,a ,st,a ,a ,a ,a 
di,di,di,a ,a ,st,st,di,di,w ,w ,w ,di,di,di,r ,r ,w ,st,s ,st,st,st,a ,a ,a ,a 
di,di,di,di,a ,a ,a ,di,di,di,di,di,di,di,st,st,w ,st,st,s ,s ,st,st,do_level2,a ,a ,a 
di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,w ,di,di,di,s ,di,di,di,di,di,di 
di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,w ,di,di,di,s ,di,di,di,di,di,di 
st,st,st,st,st,st,st,di,st,st,st,st,st,a ,st,di,w ,st,st,st,s ,st,st,st,st,st,st
st,st,st,st,st,st,st,st,st,st,st,st,st,a ,st,st,w ,st,st,st,s ,st,st,st,st,st,st
st,st,st,st,st,st,st,st,st,st,st,st,st,a ,st,st,st,st,st,st,st,st,st,st,st,st,st
st,st,st,st,st,st,st,st,st,st,st,st,st,a ,st,st,st,st,st,st,st,st,st,st,st,st,st
st,st,st,st,st,st,st,st,st,st,st,st,st,a ,st,st,st,st,st,st,st,st,st,st,st,st,st
